item_id,word_id,sense_id,headword,pinyin_tag,pinyin,definition,pos_tag,pos,sense_tag,sense,meaning,example,character_count,homograph,polyseme,XDHYCD,XDHYDCD,HYDCD,Oxford,Baidu,Online
152,54,1,冷面,lěngmiàn,lěngmiàn,"<entry id=""31373""><hwg><hw>冷面<sup>1</sup></hw><pinyin>lěngmiàn</pinyin></hwg><def><ps>形</ps>形容不讲私情或神情冷傲：<ex>～包公｜～小生。</ex></def>",形容词。,形容词,形容不讲私情或神情冷傲。,形容不讲私情或神情冷傲。,形容词。形容不讲私情或神情冷傲。,冷面包公。,23,0,0,1.0,,,,,
153,54,2,冷面,lěngmiàn,lěngmiàn,"<entry id=""31374""><hwg><hw>冷面<sup>2</sup></hw><pinyin>lěngmiàn</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 朝鲜族的一种传统食品，用荞麦面或小麦面等加入淀粉、水拌匀，压成圆面条<small>儿</small>，煮熟后浸在冷水中，捞出后拌牛肉片、辣椒、泡菜等作料，加入牛肉汤做成。</def><def><num>❷</num> 〈方〉凉面。</def>",名词。,名词,朝鲜族的一种传统食品，用荞麦面或小麦面等加入淀粉、水拌匀，压成圆面条儿，煮熟后浸在冷水中，捞出后拌牛肉片、辣椒、泡菜等作料，加入牛肉汤做成。,朝鲜族的一种传统食品，用荞麦面或小麦面等加入淀粉、水拌匀，压成圆面条儿，煮熟后浸在冷水中，捞出后拌牛肉片、辣椒、泡菜等作料，加入牛肉汤做成。,名词。朝鲜族的一种传统食品，用荞麦面或小麦面等加入淀粉、水拌匀，压成圆面条儿，煮熟后浸在冷水中，捞出后拌牛肉片、辣椒、泡菜等作料，加入牛肉汤做成。,冷面以其独特的制作工艺和风味，吸引了众多食客前来品尝。,102,0,0,,,,,1.0,
154,55,1,几何,jǐhé,jǐhé,"<entry id=""24163""><hwg><hw>几何<sup>1</sup></hw><pinyin>jǐhé</pinyin></hwg><def>〈书〉<ps>代</ps>疑问代词。多少：<ex>价值～？</ex></def>",代词。,代词,〈书〉疑问代词。多少。,〈书面语〉疑问代词。多少。,代词。〈书面语〉疑问代词。多少。,价值几何？,23,0,0,1.0,,,,,
155,55,2,几何,jǐhé,jǐhé,"<entry id=""24164""><hwg><hw>几何<sup>2</sup></hw><pinyin>jǐhé</pinyin></hwg><def><ps>名</ps>几何学。</def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://几何体"">几何体</a><a href=""entry://几何图形"">几何图形</a><a href=""entry://几何学"">几何学</a></div></ci>",名词。,名词,几何学。,几何学。,名词。几何学。,你怎么把几何课本的包书纸去掉了呢？,26,0,0,,,,,1.0,
156,56,1,出典,chūdiǎn,chūdiǎn,"<entry id=""07528""><hwg><hw>出典<sup>1</sup></hw><pinyin>chūdiǎn</pinyin></hwg><def><ps>名</ps>典故的来源；出处：<ex>“守株待兔”这个成语的～见《韩非子·五蠹》。</ex></def>",名词。,名词,典故的来源；出处。,典故的来源；出处。,名词。典故的来源；出处。,“守株待兔”这个成语的出典见《韩非子五蠹》。,36,0,0,1.0,,,,,
157,56,2,出典,chūdiǎn,chūdiǎn,"<entry id=""07529""><hwg><hw>出典<sup>2</sup></hw><pinyin>chūdiǎn</pinyin></hwg><def><ps>动</ps>指一方把土地、房屋等押给另一方使用，换取一笔钱，不付利息，议定年限，到期还款，收回原物。</def>",动词。,动词,指一方把土地、房屋等押给另一方使用，换取一笔钱，不付利息，议定年限，到期还款，收回原物。,指一方把土地、房屋等押给另一方使用，换取一笔钱，不付利息，议定年限，到期还款，收回原物。,动词。指一方把土地、房屋等押给另一方使用，换取一笔钱，不付利息，议定年限，到期还款，收回原物。,我已经将你出典了。,58,0,0,,1.0,,,,
158,57,1,出师,chū//shī,chūshī,"<entry id=""07638""><hwg><hw>出师<sup>1</sup></hw><pinyin>chū//shī</pinyin></hwg><def><ps>动</ps>（徒弟）期满学成：<ex>学徒三年～。</ex></def>",动词。,动词,（徒弟）期满学成。,（徒弟）期满学成。,动词。（徒弟）期满学成。,学徒三年出师。,21,0,0,1.0,,,,,
159,57,2,出师,chūshī,chūshī,"<entry id=""07639""><hwg><hw>出师<sup>2</sup></hw><pinyin>chūshī</pinyin></hwg><def>〈书〉<ps>动</ps>出兵打仗：<ex>～讨伐｜～不利。</ex></def>",动词。,动词,〈书〉出兵打仗。,〈书面语〉出兵打仗。,动词。〈书面语〉出兵打仗。,出师讨伐。,20,0,0,1.0,,,,,
160,58,1,出来,chū//·lái,chūlái,"<entry id=""07574""><hwg><hw>出来</hw><pinyin>chū//·lái</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 从里面到外面来：<ex>出得来｜出不来｜你～，我跟你说句话。</ex></def><def><num>❷</num> 出现：<ex>经过讨论，～两种相反的意见。</ex></def>",动词。,动词,从里面到外面来。,从里面到外面来。,动词。从里面到外面来。,你出来，我跟你说句话。,24,0,1,1.0,,,,,
161,58,2,出来,chū//·lái,chūlái,"<entry id=""07574""><hwg><hw>出来</hw><pinyin>chū//·lái</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 从里面到外面来：<ex>出得来｜出不来｜你～，我跟你说句话。</ex></def><def><num>❷</num> 出现：<ex>经过讨论，～两种相反的意见。</ex></def>",动词。,动词,出现。,出现。,动词。出现。,经过讨论，出来两种相反的意见。,23,0,1,1.0,,,,,
162,58,3,出来,//·chū//·lái,chūlái,"<entry id=""07575""><hwg><hw>出来</hw><pinyin>//·chū//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示动作由里向外朝着说话的人：<ex>拿～｜拿得～｜拿不～｜从屋里走出一个人来。</ex></def><def><num>❷</num> 用在动词后，表示动作完成或实现：<ex>写～｜开出很多荒地来｜创造出新产品来。</ex></def><def><num>❸</num> 用在动词后，表示由隐蔽到显露：<ex>看～｜我认出他来了｜听着听着渐渐听出点<small>儿</small>意思来了。</ex></def>",动词；趋向动词。,动词,用在动词后，表示动作由里向外朝着说话的人。,用在动词后，表示动作由里向外朝着说话的人。,动词；趋向动词。用在动词后，表示动作由里向外朝着说话的人。,拿出来。,35,0,1,1.0,,,,,
163,58,4,出来,//·chū//·lái,chūlái,"<entry id=""07575""><hwg><hw>出来</hw><pinyin>//·chū//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示动作由里向外朝着说话的人：<ex>拿～｜拿得～｜拿不～｜从屋里走出一个人来。</ex></def><def><num>❷</num> 用在动词后，表示动作完成或实现：<ex>写～｜开出很多荒地来｜创造出新产品来。</ex></def><def><num>❸</num> 用在动词后，表示由隐蔽到显露：<ex>看～｜我认出他来了｜听着听着渐渐听出点<small>儿</small>意思来了。</ex></def>",动词；趋向动词。,动词,用在动词后，表示动作完成或实现。,用在动词后，表示动作完成或实现。,动词；趋向动词。用在动词后，表示动作完成或实现。,写出来。,30,0,1,1.0,,,,,
164,58,5,出来,//·chū//·lái,chūlái,"<entry id=""07575""><hwg><hw>出来</hw><pinyin>//·chū//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示动作由里向外朝着说话的人：<ex>拿～｜拿得～｜拿不～｜从屋里走出一个人来。</ex></def><def><num>❷</num> 用在动词后，表示动作完成或实现：<ex>写～｜开出很多荒地来｜创造出新产品来。</ex></def><def><num>❸</num> 用在动词后，表示由隐蔽到显露：<ex>看～｜我认出他来了｜听着听着渐渐听出点<small>儿</small>意思来了。</ex></def>",动词；趋向动词。,动词,用在动词后，表示由隐蔽到显露。,用在动词后，表示由隐蔽到显露。,动词；趋向动词。用在动词后，表示由隐蔽到显露。,看出来。,29,0,1,1.0,,,,,
165,59,1,出槽,chū//cáo,chūcáo,"<entry id=""07512""><hwg><hw>出槽<sup>1</sup></hw><pinyin>chū//cáo</pinyin></hwg><def><ps>动</ps>出栏①。</def>",动词。,动词,出栏。,出栏。,动词。出栏。,农民们根据传统经验，判断这批猪已经长得足够大，该出槽了。,36,0,0,,,,,1.0,
166,59,2,出槽,chū//cáo,chūcáo,"<entry id=""07513""><hwg><hw>出槽<sup>2</sup></hw><pinyin>chū//cáo</pinyin></hwg><def><ps>动</ps>（河、湖等）水漫到岸上。</def>",动词。,动词,（河、湖等）水漫到岸上。,（河、湖等）水漫到岸上。,动词。（河、湖等）水漫到岸上。,雨季来临，河堤出槽淹没了附近的村庄。,35,0,0,,,,,1.0,
167,60,1,分别,fēnbié,fēnbié,"<entry id=""14987""><hwg><hw>分别<sup>1</sup></hw><pinyin>fēnbié</pinyin></hwg><def><ps>动</ps>离别：<ex>暂时～，不久就能见面｜他们～了好多年啦。</ex></def>",动词。,动词,离别。,离别。,动词。离别。,暂时分别，不久就能见面。,20,0,0,1.0,,,,,
168,60,2,分别,fēnbié,fēnbié,"<entry id=""14988""><hwg><hw>分别<sup>2</sup></hw><pinyin>fēnbié</pinyin></hwg><def><num>❶</num> <ps>动</ps>辨别：<ex>～是非｜～轻重缓急。</ex></def><def><num>❷</num> <ps>副</ps>按不同方式；有区别地：<ex>～对待｜～处理。</ex></def><def><num>❸</num> <ps>副</ps>分头；各自：<ex>几个人～去做动员工作｜部队到达前沿，～进入阵地。</ex></def><def><num>❹</num> <ps>名</ps>不同；差别：<ex>看不出有什么～。</ex></def>",动词。,动词,辨别。,辨别。,动词。辨别。,分别轻重缓急。,15,0,1,1.0,,,,,
169,60,3,分别,fēnbié,fēnbié,"<entry id=""14988""><hwg><hw>分别<sup>2</sup></hw><pinyin>fēnbié</pinyin></hwg><def><num>❶</num> <ps>动</ps>辨别：<ex>～是非｜～轻重缓急。</ex></def><def><num>❷</num> <ps>副</ps>按不同方式；有区别地：<ex>～对待｜～处理。</ex></def><def><num>❸</num> <ps>副</ps>分头；各自：<ex>几个人～去做动员工作｜部队到达前沿，～进入阵地。</ex></def><def><num>❹</num> <ps>名</ps>不同；差别：<ex>看不出有什么～。</ex></def>",副词。,副词,按不同方式；有区别地。,按不同方式；有区别地。,副词。按不同方式；有区别地。,分别对待。,21,0,1,1.0,,,,,
170,60,4,分别,fēnbié,fēnbié,"<entry id=""14988""><hwg><hw>分别<sup>2</sup></hw><pinyin>fēnbié</pinyin></hwg><def><num>❶</num> <ps>动</ps>辨别：<ex>～是非｜～轻重缓急。</ex></def><def><num>❷</num> <ps>副</ps>按不同方式；有区别地：<ex>～对待｜～处理。</ex></def><def><num>❸</num> <ps>副</ps>分头；各自：<ex>几个人～去做动员工作｜部队到达前沿，～进入阵地。</ex></def><def><num>❹</num> <ps>名</ps>不同；差别：<ex>看不出有什么～。</ex></def>",副词。,副词,分头；各自。,分头；各自。,副词。分头；各自。,几个人分别去做动员工作。,23,0,1,1.0,,,,,
171,60,5,分别,fēnbié,fēnbié,"<entry id=""14988""><hwg><hw>分别<sup>2</sup></hw><pinyin>fēnbié</pinyin></hwg><def><num>❶</num> <ps>动</ps>辨别：<ex>～是非｜～轻重缓急。</ex></def><def><num>❷</num> <ps>副</ps>按不同方式；有区别地：<ex>～对待｜～处理。</ex></def><def><num>❸</num> <ps>副</ps>分头；各自：<ex>几个人～去做动员工作｜部队到达前沿，～进入阵地。</ex></def><def><num>❹</num> <ps>名</ps>不同；差别：<ex>看不出有什么～。</ex></def>",名词。,名词,不同；差别。,不同；差别。,名词。不同；差别。,看不出有什么分别。,20,0,1,1.0,,,,,
172,61,1,分号,fēnhào,fēnhào,"<entry id=""15011""><hwg><hw>分号<sup>1</sup></hw><pinyin>fēnhào</pinyin></hwg><def><ps>名</ps>标点符号（；），表示一句话中间并列分句之间的停顿。</def>",名词。,名词,标点符号（；），表示一句话中间并列分句之间的停顿。,标点符号（；），表示一句话中间并列分句之间的停顿。,名词。标点符号（；），表示一句话中间并列分句之间的停顿。,分号用在语气似完而未完的地方。,45,0,0,,,,,1.0,
173,61,2,分号,fēnhào,fēnhào,"<entry id=""15012""><hwg><hw>分号<sup>2</sup></hw><pinyin>fēnhào</pinyin></hwg><def><ps>名</ps>分店：<ex>本店只此一家，别无～。</ex></def>",名词。,名词,分店。,分店。,名词。分店。,本店只此一家，别无分号。,20,0,0,1.0,,,,,
174,62,1,分头,fēntóu,fēntóu,"<entry id=""15066""><hwg><hw>分头<sup>1</sup></hw><pinyin>fēntóu</pinyin></hwg><def><ps>副</ps>若干人分几个方面（进行工作）：<ex>～办理｜大家～去准备。</ex></def>",副词。,副词,若干人分几个方面（进行工作）。,若干人分几个方面（进行工作）。,副词。若干人分几个方面（进行工作）。,大家分头去准备。,28,0,0,1.0,,,,,
175,62,2,分头,fēntóu,fēntóu,"<entry id=""15067""><hwg><hw>分头<sup>2</sup></hw><pinyin>fēntóu</pinyin></hwg><def><ps>名</ps>短头发向两边分开梳的式样。</def>",名词。,名词,短头发向两边分开梳的式样。,短头发向两边分开梳的式样。,名词。短头发向两边分开梳的式样。,他留着短分头，穿着黄色卡叽布学生制服。,37,0,0,,,,,1.0,
176,63,1,分数,fēnshù,fēnshù,"<entry id=""15056""><hwg><hw>分数<sup>1</sup></hw><pinyin>fēnshù</pinyin></hwg><def><ps>名</ps>评定成绩或胜负时所记的分<small>儿</small>的数字：<ex>三门功课的平均～是87分｜鞍马，他得的～是9.5分。</ex></def>",名词。,名词,评定成绩或胜负时所记的分儿的数字。,评定成绩或胜负时所记的分儿的数字。,名词。评定成绩或胜负时所记的分儿的数字。,三门功课的平均分数是87分。,36,0,0,1.0,,,,,
177,63,2,分数,fēnshù,fēnshù,"<entry id=""15057""><hwg><hw>分数<sup>2</sup></hw><pinyin>fēnshù</pinyin></hwg><def><ps>名</ps>把一个单位分成若干等份，表示其中的一份或几份的数，是除法的一种书写形式，如2/5（读作五分之二），2 3/7（读作二又七分之三）。在分数中，符号“—”叫作分数线，相当于除号；分数线上面的数叫作分子，相当于被除数，如2/5中的2；分数线下面的数叫作分母，相当于除数，如2/5中的5。</def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://分数线"">分数线</a></div></ci>",名词。,名词,把一个单位分成若干等份，表示其中的一份或几份的数，是除法的一种书写形式，如2/5（读作五分之二），23/7（读作二又七分之三）。,把一个单位分成若干等份，表示其中的一份或几份的数，是除法的一种书写形式，如2/5（读作五分之二），23/7（读作二又七分之三）。,名词。把一个单位分成若干等份，表示其中的一份或几份的数，是除法的一种书写形式，如2/5（读作五分之二），23/7（读作二又七分之三）。,分子比分母小的分数是做真分数。,84,0,0,,,,,1.0,
178,64,1,切口,qiēkǒu,qiēkǒu,"<entry id=""41508""><hwg><hw>切口</hw><pinyin>qiēkǒu</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 书页裁切后各边留下的空白处。</def><def><num>❷</num> 书刊装订时上边、下边和侧面裁切处叫切口，上边的叫上切口，下边的叫下切口，侧面的叫外切口。</def><def><num>❸</num> 做手术时在皮肤上拉的口子：<ex>术后～愈合良好。</ex></def><def>　另见<pinyin>qièkǒu</pinyin>。</def>",名词。,名词,书页裁切后各边留下的空白处。,书页裁切后各边留下的空白处。,名词。书页裁切后各边留下的空白处。,他喜欢在书本的切口处做笔记。,33,1,1,,,,,1.0,
179,64,2,切口,qiēkǒu,qiēkǒu,"<entry id=""41508""><hwg><hw>切口</hw><pinyin>qiēkǒu</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 书页裁切后各边留下的空白处。</def><def><num>❷</num> 书刊装订时上边、下边和侧面裁切处叫切口，上边的叫上切口，下边的叫下切口，侧面的叫外切口。</def><def><num>❸</num> 做手术时在皮肤上拉的口子：<ex>术后～愈合良好。</ex></def><def>　另见<pinyin>qièkǒu</pinyin>。</def>",名词。,名词,书刊装订时上边、下边和侧面裁切处叫切口，上边的叫上切口，下边的叫下切口，侧面的叫外切口。,书刊装订时上边、下边和侧面裁切处叫切口，上边的叫上切口，下边的叫下切口，侧面的叫外切口。,名词。书刊装订时上边、下边和侧面裁切处叫切口，上边的叫上切口，下边的叫下切口，侧面的叫外切口。,在修复一本珍贵的古籍时，修复师会小心翼翼地处理每一个切口。,78,1,1,,,,,1.0,
180,64,3,切口,qiēkǒu,qiēkǒu,"<entry id=""41508""><hwg><hw>切口</hw><pinyin>qiēkǒu</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 书页裁切后各边留下的空白处。</def><def><num>❷</num> 书刊装订时上边、下边和侧面裁切处叫切口，上边的叫上切口，下边的叫下切口，侧面的叫外切口。</def><def><num>❸</num> 做手术时在皮肤上拉的口子：<ex>术后～愈合良好。</ex></def><def>　另见<pinyin>qièkǒu</pinyin>。</def>",名词。,名词,做手术时在皮肤上拉的口子。,做手术时在皮肤上拉的口子。,名词。做手术时在皮肤上拉的口子。,术后切口愈合良好。,27,1,1,1.0,,,,,
181,64,4,切口,qièkǒu,qièkǒu,"<entry id=""41536""><hwg><hw>切口</hw><pinyin>qièkǒu</pinyin></hwg><def><ps>名</ps>帮会或某些行业中的暗语。</def><def>　另见<pinyin>qiēkǒu</pinyin>。</def>",名词。,名词,帮会或某些行业中的暗语。,帮会或某些行业中的暗语。,名词。帮会或某些行业中的暗语。,江湖上的老手们常用切口交流。,31,1,0,,,,,1.0,
182,65,1,切面,qiēmiàn,qiēmiàn,"<entry id=""41509""><hwg><hw>切面<sup>1</sup></hw><pinyin>qiēmiàn</pinyin></hwg><def><ps>名</ps>切成的面条<small>儿</small>。</def>",名词。,名词,切成的面条儿。,切成的面条儿。,名词。切成的面条儿。,妈妈的手艺真好，切面又细又均匀。,28,0,0,,,,,1.0,
183,65,2,切面,qiēmiàn,qiēmiàn,"<entry id=""41510""><hwg><hw>切面<sup>2</sup></hw><pinyin>qiēmiàn</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 剖面。</def><def><num>❷</num> 和球面只有一个交点的平面叫作球的切面；只包含圆柱、圆锥的一条母线的平面叫作圆柱或圆锥的切面。</def>",名词。,名词,剖面。,剖面。,名词。剖面。,从社会学的切面来看，这个问题涉及到了多个社会阶层的利益。,36,0,1,,,,,1.0,
184,65,3,切面,qiēmiàn,qiēmiàn,"<entry id=""41510""><hwg><hw>切面<sup>2</sup></hw><pinyin>qiēmiàn</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 剖面。</def><def><num>❷</num> 和球面只有一个交点的平面叫作球的切面；只包含圆柱、圆锥的一条母线的平面叫作圆柱或圆锥的切面。</def>",名词。,名词,和球面只有一个交点的平面叫作球的切面；只包含圆柱、圆锥的一条母线的平面叫作圆柱或圆锥的切面。,和球面只有一个交点的平面叫作球的切面；只包含圆柱、圆锥的一条母线的平面叫作圆柱或圆锥的切面。,名词。和球面只有一个交点的平面叫作球的切面；只包含圆柱、圆锥的一条母线的平面叫作圆柱或圆锥的切面。,圆柱体的水平切面是一个矩形。,65,0,1,,,,,1.0,
185,66,1,别子,biézǐ,biézǐ,"<entry id=""03420""><hwg><hw>别子</hw><pinyin>biézǐ</pinyin></hwg><def><ps>名</ps>古代指天子、诸侯的嫡长子以外的儿子。</def>",名词。,名词,古代指天子、诸侯的嫡长子以外的儿子。,古代指天子、诸侯的嫡长子以外的儿子。,名词。古代指天子、诸侯的嫡长子以外的儿子。,别子虽然不是嫡长子，也要为家族的传承和延续做出贡献。,49,1,0,,,,,1.0,
186,66,2,别子,bié·zi,biézi,"<entry id=""03421""><hwg><hw>别子</hw><pinyin>bié·zi</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 线装书的套子上或字画手卷上用来别住开口的东西，多用骨头制成。</def><def><num>❷</num> 烟袋荷包的坠饰。</def>",名词。,名词,线装书的套子上或字画手卷上用来别住开口的东西，多用骨头制成。,线装书的套子上或字画手卷上用来别住开口的东西，多用骨头制成。,名词。线装书的套子上或字画手卷上用来别住开口的东西，多用骨头制成。,传统的字画手卷通常配有一个精致的骨别子，用于固定手卷的开口，以防止画卷散开。,73,1,1,,,,,1.0,
187,66,3,别子,bié·zi,biézi,"<entry id=""03421""><hwg><hw>别子</hw><pinyin>bié·zi</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 线装书的套子上或字画手卷上用来别住开口的东西，多用骨头制成。</def><def><num>❷</num> 烟袋荷包的坠饰。</def>",名词。,名词,烟袋荷包的坠饰。,烟袋荷包的坠饰。,名词。烟袋荷包的坠饰。,那位老人手中的烟袋上挂着一个玉制的别子，它随着老人的步伐轻轻摇晃，散发出一种古朴而典雅的气息。,60,1,1,,,,,1.0,
188,67,1,劈刀,pīdāo,pīdāo,"<entry id=""38989""><hwg><hw>劈刀<sup>1</sup></hw><pinyin>pīdāo</pinyin></hwg><def><ps>名</ps>刀背较厚的刀，用来劈竹子、木头等。</def>",名词。,名词,刀背较厚的刀，用来劈竹子、木头等。,刀背较厚的刀，用来劈竹子、木头等。,名词。刀背较厚的刀，用来劈竹子、木头等。,看着前面一人多高的荆棘，爷爷举起劈刀向荆棘野草砍去。,48,0,0,,,,,1.0,
189,67,2,劈刀,pīdāo,pīdāo,"<entry id=""38990""><hwg><hw>劈刀<sup>2</sup></hw><pinyin>pīdāo</pinyin></hwg><def><ps>名</ps>用军刀劈杀的技术。</def>",名词。,名词,用军刀劈杀的技术。,用军刀劈杀的技术。,名词。用军刀劈杀的技术。,为了掌握劈刀，士兵们日复一日地进行训练。,34,0,0,,,,,1.0,
190,68,1,加封,jiā//fēng,jiāfēng,"<entry id=""24499""><hwg><hw>加封<sup>1</sup></hw><pinyin>jiā//fēng</pinyin></hwg><def><ps>动</ps>贴上封条。</def>",动词。,动词,贴上封条。,贴上封条。,动词。贴上封条。,今年春节放假七天，各办公室都已加封。,28,0,0,,1.0,,,,
191,68,2,加封,jiāfēng,jiāfēng,"<entry id=""24500""><hwg><hw>加封<sup>2</sup></hw><pinyin>jiāfēng</pinyin></hwg><def><ps>动</ps>封建时代指在原有的基础上再封给（名位、土地等）。</def>",动词。,动词,封建时代指在原有的基础上再封给（名位、土地等）。,封建时代指在原有的基础上再封给（名位、土地等）。,动词。封建时代指在原有的基础上再封给（名位、土地等）。,这是她要受单于加封，晋单于祖庙的前一天的傍晚。,52,0,0,,1.0,,,,
192,69,1,包金,bāojīn,bāojīn,"<entry id=""01580""><hwg><hw>包金<sup>1</sup></hw><pinyin>bāojīn</pinyin></hwg><def><ps>动</ps>把极薄的金箔包在金属首饰外面：<ex>～项链。</ex></def>",动词。,动词,把极薄的金箔包在金属首饰外面。,把极薄的金箔包在金属首饰外面。,动词。把极薄的金箔包在金属首饰外面。,包金项链。,25,0,0,1.0,,,,,
193,69,2,包金,bāojīn,bāojīn,"<entry id=""01581""><hwg><hw>包金<sup>2</sup></hw><pinyin>bāojīn</pinyin></hwg><def><ps>名</ps>包银。</def>",名词。,名词,包银。,包银。,名词。包银。,这次演出的包金数额经过协商最终确定了下来。,29,0,0,,,,,1.0,
194,70,1,千斤,qiānjīn,qiānjīn,"<entry id=""40798""><hwg><hw>千斤</hw><pinyin>qiānjīn</pinyin></hwg><def>数量词。多形容责任重：<ex>～重担（<pinyin>zhòngdàn</pinyin>）。</ex></def>",数量词。,数量词,多形容责任重。,多形容责任重。,数量词。多形容责任重。,千斤重担。,18,1,0,1.0,,,,,
195,70,2,千斤,qiān·jin,qiānjin,"<entry id=""40799""><hwg><hw>千斤</hw><pinyin>qiān·jin</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 千斤顶的简称。</def><def><num>❷</num> 机器中防止齿轮倒转的装置，由安置在轴上的有齿零件和弹簧等组成。</def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://千斤顶"">千斤顶</a></div></ci>",名词。,名词,千斤顶的简称。,千斤顶的简称。,名词。千斤顶的简称。,工程师们利用千斤顶的原理，设计出了能够承载重物的大型起重设备，为建筑工地的施工提供了便利。,57,1,1,,,,,1.0,
196,70,3,千斤,qiān·jin,qiānjin,"<entry id=""40799""><hwg><hw>千斤</hw><pinyin>qiān·jin</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 千斤顶的简称。</def><def><num>❷</num> 机器中防止齿轮倒转的装置，由安置在轴上的有齿零件和弹簧等组成。</def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://千斤顶"">千斤顶</a></div></ci>",名词。,名词,机器中防止齿轮倒转的装置，由安置在轴上的有齿零件和弹簧等组成。,机器中防止齿轮倒转的装置，由安置在轴上的有齿零件和弹簧等组成。,名词。机器中防止齿轮倒转的装置，由安置在轴上的有齿零件和弹簧等组成。,这台机器的千斤装置非常有效，能够确保齿轮在运转过程中不会倒转。,67,1,1,,,,,1.0,
197,71,1,华胄,huázhòu,huázhòu,"<entry id=""22002""><hwg><hw>华胄<sup>1</sup></hw><pinyin>huázhòu</pinyin></hwg><def>〈书〉<ps>名</ps>贵族的后裔。</def>",名词。,名词,〈书〉贵族的后裔。,〈书面语〉贵族的后裔。,名词。〈书面语〉贵族的后裔。,衣冠华胄。,21,0,0,,1.0,,,,
198,71,2,华胄,huázhòu,huázhòu,"<entry id=""22003""><hwg><hw>华胄<sup>2</sup></hw><pinyin>huázhòu</pinyin></hwg><def>〈书〉<ps>名</ps>华夏的后裔。</def>",名词。,名词,〈书〉华夏的后裔。,〈书面语〉华夏的后裔。,名词。〈书面语〉华夏的后裔。,啊！四千年华胄的名花呀！你有高超的历史，你有逸雅的风俗！,44,0,0,,1.0,,,,
199,72,1,单方,dānfāng,dānfāng,"<entry id=""10162""><hwg><hw>单方<sup>1</sup></hw><pinyin>dānfāng</pinyin></hwg><def><ps>形</ps>属性词。单方面的：<ex>～权利｜他们竟然～撕毁了合约。</ex></def>",形容词；属性词。,形容词,单方面的。,单方面的。,形容词；属性词。单方面的。,他们竟然单方撕毁了合约。,27,0,0,1.0,,,,,
200,72,2,单方,dānfāng,dānfāng,"<entry id=""10163""><hwg><hw>单方<sup>2</sup></hw><pinyin>dānfāng</pinyin></hwg><def><ps>名</ps>民间流传的药方。也作丹方。</def>",名词。,名词,民间流传的药方。也作丹方。,民间流传的药方。也作丹方。,名词。民间流传的药方。也作丹方。,你试试这个单方，也许管用。,31,0,0,,1.0,,,,
201,73,1,印花,yìn//huā,yìnhuā,"<entry id=""62025""><hwg><hw>印花<sup>1</sup></hw><pinyin>yìn//huā</pinyin></hwg><def>（～<small>儿</small>）<ps>动</ps>将有色花纹或图案印到纺织品等上面。</def>",动词。,动词,（印花儿）将有色花纹或图案印到纺织品等上面。,将有色花纹或图案印到纺织品等上面。,动词。将有色花纹或图案印到纺织品等上面。,这件衬衫的布是通过印花制成的，图案栩栩如生。,44,0,0,,,,,1.0,
202,73,2,印花,yìnhuā,yìnhuā,"<entry id=""62026""><hwg><hw>印花<sup>2</sup></hw><pinyin>yìnhuā</pinyin></hwg><def><ps>名</ps>由政府有关部门发售，规定贴在契约、凭证等上面，作为税款的一种特制印刷品。全称印花税票。</def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://印花税"">印花税</a></div></ci>",名词。,名词,由政府有关部门发售，规定贴在契约、凭证等上面，作为税款的一种特制印刷品。全称印花税票。,由政府有关部门发售，规定贴在契约、凭证等上面，作为税款的一种特制印刷品。全称印花税票。,名词。由政府有关部门发售，规定贴在契约、凭证等上面，作为税款的一种特制印刷品。全称印花税票。,这种印花比普通的邮票稍微大一点，当中一颗红心，两边各四个字：“万众一心”和“勿忘国耻”。,92,0,0,,1.0,,,,
