subject,item_id,headword,meaning,example,Response,RT_ms,anchor,list
54,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,1903.700000047684,exp2,List2
55,202,烟花,名词。旧时指妓女。,沦为烟花。,7,10209.70000000147,exp2,List1
55,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,1552.100000000093,exp2,List1
55,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3200.200000000186,exp2,List1
55,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,8600.599999998696,exp2,List1
55,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1621.299999998417,exp2,List1
56,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,3,10264.29999999981,exp2,List2
56,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,3,3330.8000000005118,exp2,List2
56,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1930.700000000186,exp2,List2
56,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1897.300000000512,exp2,List2
56,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,3980.900000000605,exp2,List2
57,202,烟花,名词。旧时指妓女。,沦为烟花。,7,3948,exp2,List1
57,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,1136,exp2,List1
57,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,1450.000000000466,exp2,List1
57,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1368,exp2,List1
57,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,668,exp2,List1
58,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,6,6696.69999995234,exp2,List2
58,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,6,2946.699999999953,exp2,List2
58,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,6,3212.899999976158,exp2,List2
58,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,6647.49999995227,exp2,List2
58,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,4279.19999996433,exp2,List2
3,202,烟花,名词。旧时指妓女。,沦为烟花。,7,14220,exp2,List1
3,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,3,7736,exp2,List1
3,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,6,5252.000000000466,exp2,List1
3,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,4568,exp2,List1
3,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2952,exp2,List1
4,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,4261.299999976181,exp2,List2
4,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2601.999999976135,exp2,List2
4,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2757.000000023749,exp2,List2
4,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1916.200000023935,exp2,List2
4,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2062.100000023842,exp2,List2
59,202,烟花,名词。旧时指妓女。,沦为烟花。,7,26749.69999999972,exp2,List1
59,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,208395.2999999998,exp2,List1
59,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,8100.200000000186,exp2,List1
59,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1555.5,exp2,List1
59,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,707.5999999996275,exp2,List1
60,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,5,4300.500000000058,exp2,List2
60,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,4,1102.900000000023,exp2,List2
60,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3072.000000000466,exp2,List2
60,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,5,2888.400000000373,exp2,List2
60,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,4412.900000000373,exp2,List2
61,202,烟花,名词。旧时指妓女。,沦为烟花。,7,2316.699999904609,exp2,List1
61,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,5,1411,exp2,List1
61,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3645.800000095274,exp2,List1
61,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,2377.199999904726,exp2,List1
61,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1311.099999904633,exp2,List1
62,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,3985.100000005972,exp2,List2
62,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2915.400000008987,exp2,List2
62,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3533.000000006054,exp2,List2
62,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,3873.100000011967,exp2,List2
62,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,7376.700000005774,exp2,List2
63,202,烟花,名词。旧时指妓女。,沦为烟花。,7,4705.199999952689,exp2,List1
63,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,4311.700000047684,exp2,List1
63,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,5402.900000000373,exp2,List1
63,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,7154.400000000373,exp2,List1
63,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,6,2996.599999976344,exp2,List1
64,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,3670.600000005972,exp2,List2
64,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2208.299999994051,exp2,List2
64,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2230.700000006007,exp2,List2
64,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1349.300000011921,exp2,List2
64,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2475.200000017881,exp2,List2
65,202,烟花,名词。旧时指妓女。,沦为烟花。,6,2712.900002288807,exp2,List1
65,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,2449,exp2,List1
65,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,2336.199999999953,exp2,List1
65,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,3677.100000000093,exp2,List1
65,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,3016.600000762846,exp2,List1
66,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,2,1415.899999999994,exp2,List2
66,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,3,47879.20000000054,exp2,List2
66,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1579.500000000466,exp2,List2
66,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2870.000000000931,exp2,List2
66,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2525.700000000186,exp2,List2
67,202,烟花,名词。旧时指妓女。,沦为烟花。,6,2427.700000006007,exp2,List1
67,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,5302.500000003027,exp2,List1
67,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,5,2238.300000003073,exp2,List1
67,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,6,6175.399999993853,exp2,List1
67,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,6,1293.499999993946,exp2,List1
68,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,5535.199999952223,exp2,List2
68,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,4891.799999952316,exp2,List2
68,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2041.799999809358,exp2,List2
68,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1606.499999809079,exp2,List2
68,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2177.699999904726,exp2,List2
69,202,烟花,名词。旧时指妓女。,沦为烟花。,7,3398.399999952293,exp2,List1
69,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,7380.999999809312,exp2,List1
69,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,2920.299999856856,exp2,List1
69,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,19420.9999999525,exp2,List1
69,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,4454.199999952689,exp2,List1
70,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,17372.5,exp2,List2
70,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2323.900000002235,exp2,List2
70,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,12154.39999999991,exp2,List2
70,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2367.100000002421,exp2,List2
70,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,3144.900000000373,exp2,List2
71,202,烟花,名词。旧时指妓女。,沦为烟花。,7,3319.200000011944,exp2,List1
71,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,18923.40000000037,exp2,List1
71,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,5,6118.000000018626,exp2,List1
71,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,7591.800000000745,exp2,List1
71,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2571.300000000745,exp2,List1
72,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,6,7305.59999997617,exp2,List2
72,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,6113.899999976158,exp2,List2
72,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2397.899999952409,exp2,List2
72,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,3549.200000023935,exp2,List2
72,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2153.399999952409,exp2,List2
73,202,烟花,名词。旧时指妓女。,沦为烟花。,3,673.5999998569605,exp2,List1
73,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,2400.099999904633,exp2,List1
73,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,5,2843.599999904633,exp2,List1
73,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,4,2576.399999952409,exp2,List1
73,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,6,4533.599999904633,exp2,List1
74,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,5,18913.30000002385,exp2,List2
74,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,4,23154.59999999998,exp2,List2
74,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,21256.39999998827,exp2,List2
74,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1239.800000011921,exp2,List2
74,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2238.300000011921,exp2,List2
75,202,烟花,名词。旧时指妓女。,沦为烟花。,5,3127.400000002235,exp2,List1
75,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,2674.899999999208,exp2,List1
75,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,5235.800000002142,exp2,List1
75,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,2789.400000000838,exp2,List1
75,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1642,exp2,List1
76,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,6212.899999999965,exp2,List2
76,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2434,exp2,List2
76,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2392.899999999907,exp2,List2
76,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,5,1818.800000000279,exp2,List2
76,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2943.599999999627,exp2,List2
77,202,烟花,名词。旧时指妓女。,沦为烟花。,5,5533.599999999627,exp2,List1
77,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,4,2982.899999999907,exp2,List1
77,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,5720.799999999814,exp2,List1
77,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,3,1681.5,exp2,List1
77,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,6,5086.799999999814,exp2,List1
78,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,2,7253.699999997742,exp2,List2
78,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,6,24068.69999999925,exp2,List2
78,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3794.099999999162,exp2,List2
78,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2314.39999999851,exp2,List2
78,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,8687.799999999814,exp2,List2
5,202,烟花,名词。旧时指妓女。,沦为烟花。,7,2726.89999999979,exp2,List1
5,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,2106,exp2,List1
5,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,4010.100000000093,exp2,List1
5,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,3438.899999999441,exp2,List1
5,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,3642.799999999814,exp2,List1
6,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,4957.599999999977,exp2,List2
6,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,4693.999999928521,exp2,List2
6,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,4789.700000023935,exp2,List2
6,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,3527.600000023842,exp2,List2
6,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2564.200000023469,exp2,List2
79,202,烟花,名词。旧时指妓女。,沦为烟花。,7,1276.100000095379,exp2,List1
79,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,3248.800000000047,exp2,List1
79,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3241.300000000047,exp2,List1
79,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,6092.000000142958,exp2,List1
79,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,983.8000001432374,exp2,List1
80,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,4002.300000000396,exp2,List2
80,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2745.699999999837,exp2,List2
80,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1648.199999999721,exp2,List2
80,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,4233.100000000093,exp2,List2
80,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,1431.100000001024,exp2,List2
81,202,烟花,名词。旧时指妓女。,沦为烟花。,7,5314.900000000023,exp2,List1
81,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,3896.600000000093,exp2,List1
81,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,2608.500000000233,exp2,List1
81,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1804.40000000014,exp2,List1
81,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1939.399999999907,exp2,List1
82,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,9938.099999952305,exp2,List2
82,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2322.399999952293,exp2,List2
82,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3876.499999857042,exp2,List2
82,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2487.599999809172,exp2,List2
82,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,29986.59999990463,exp2,List2
83,202,烟花,名词。旧时指妓女。,沦为烟花。,7,2009.400000095367,exp2,List1
83,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,1306.100000047707,exp2,List1
83,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,5,869.4999999522697,exp2,List1
83,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,6,1561.800000047777,exp2,List1
83,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,6,1707.399999999907,exp2,List1
84,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,3830.200000000739,exp2,List2
84,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,5363.499999999243,exp2,List2
84,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,4530.999999998603,exp2,List2
84,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1430.299999997718,exp2,List2
84,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,4781,exp2,List2
85,202,烟花,名词。旧时指妓女。,沦为烟花。,7,1761.999999928288,exp2,List1
85,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,1415.900000000373,exp2,List1
85,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,1372.200000023469,exp2,List1
85,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1270.099999976344,exp2,List1
85,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1853.100000023842,exp2,List1
86,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,6,19221.90000000299,exp2,List2
86,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,4,21257.399999997,exp2,List2
86,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3682.100000000093,exp2,List2
86,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2961.299999994226,exp2,List2
86,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,4919.400000003166,exp2,List2
87,202,烟花,名词。旧时指妓女。,沦为烟花。,4,3390.699999928474,exp2,List1
87,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,3752.999999928521,exp2,List1
87,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3724.299999976065,exp2,List1
87,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,4376.499999928288,exp2,List1
87,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1942.799999904819,exp2,List1
88,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,1985.799999952316,exp2,List2
88,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,1946.899999964226,exp2,List2
88,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2936.499999988126,exp2,List2
88,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2094.69999996433,exp2,List2
